No.;Time;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter;;
224;14,517804;14,517804;14,517804;0;0;0;0;;
225;14,517804;14,517804;14,517804;0;0;-5,4E-05;-5,4E-05;;
226;14,517804;14,517804;14,517804;0;-5,4E-05;-0,00046;-0,000406;;
227;14,517804;14,517804;14,517858;5,4E-05;-0,00046;0,000514;0,000974;;
228;14,517858;14,517858;14,518372;0,000514;0,000514;0;-0,000514;;
229;14,518372;14,518372;14,518372;0;0;-2,2E-05;-2,2E-05;;
230;14,518372;14,518372;14,518372;0;-2,2E-05;-0,000176;-0,000154;;
231;14,518372;14,518372;14,518394;2,2E-05;-0,000176;0,000175;0,000351;;
232;14,518394;14,518394;14,518592;0,000198;0,000175;-4E-06;-0,000179;;
233;14,518592;14,518592;14,518615;2,3E-05;-4E-06;-0,000602;-0,000598;;
234;14,518615;14,518615;14,518642;2,7E-05;-0,000602;0,000298;0,0009;;
235;14,518642;14,518642;14,519271;0,000629;0,000298;0,000294;-4E-06;;
236;14,519271;14,519271;14,519602;0,000331;0,000294;-0,009093;-0,009387;;
237;14,519602;14,519602;14,519639;3,7E-05;-0,009093;0,002788;0,011881;;
238;14,519639;14,519639;14,528769;0,00913;0,002788;0,006167;0,003379;;
239;14,528769;14,528769;14,535111;0,006342;0,006167;-0,005458;-0,011625;;
240;14,535111;14,535111;14,535286;0,000175;-0,005458;0,005585;0,011043;;
241;14,535286;14,535286;14,540919;0,005633;0,005585;-0,005345;-0,01093;;
242;14,540919;14,540919;14,540967;4,8E-05;-0,005345;0,005198;0,010543;;
243;14,540967;14,540967;14,54636;0,005393;0,005198;0,000155;-0,005043;;
244;14,54636;14,54636;14,546555;0,000195;0,000155;-0,000945;-0,0011;;
245;14,546555;14,546555;14,546595;4E-05;-0,000945;0,000985;0,00193;;
246;14,546595;14,546595;14,54758;0,000985;0,000985;0;-0,000985;;
247;14,54758;14,54758;14,54758;0;0;0;0;;
248;14,54758;14,54758;14,54758;0;0;-4,1E-05;-4,1E-05;;
249;14,54758;14,54758;14,54758;0;-4,1E-05;-0,000303;-0,000262;;
250;14,54758;14,54758;14,547621;4,1E-05;-0,000303;0,000344;0,000647;;
251;14,547621;14,547621;14,547965;0,000344;0,000344;-2,6E-05;-0,00037;;
252;14,547965;14,547965;14,547965;0;-2,6E-05;-0,000184;-0,000158;;
253;14,547965;14,547965;14,547991;2,6E-05;-0,000184;-4,4E-05;0,00014;;
254;14,547991;14,547991;14,548201;0,00021;-4,4E-05;0,000232;0,000276;;
255;14,548201;14,548201;14,548455;0,000254;0,000232;-0,010567;-0,010799;;
256;14,548455;14,548455;14,548477;2,2E-05;-0,010567;-0,00629;0,004277;;
257;14,548477;14,548477;14,559066;0,010589;-0,00629;0,016834;0,023124;;
258;14,559066;14,559066;14,575945;0,016879;0,016834;-0,006399;-0,023233;;
259;14,575945;14,575945;14,57599;4,5E-05;-0,006399;-0,063069;-0,05667;;
260;14,57599;14,57599;14,582434;0,006444;-0,063069;0,063874;0,126943;;
261;14,582434;14,582434;14,651947;0,069513;0,063874;0,005581;-0,058293;;
262;14,651947;14,651947;14,657586;0,005639;0,005581;-9,8E-05;-0,005679;;
263;14,657586;14,657586;14,657644;5,8E-05;-9,8E-05;-0,00028;-0,000182;;
264;14,657644;14,657644;14,6578;0,000156;-0,00028;-0,028873;-0,028593;;
265;14,6578;14,6578;14,658236;0,000436;-0,028873;-0,034888;-0,006015;;
266;14,658236;14,658236;14,687545;0,029309;-0,034888;0,063828;0,098716;;
267;14,687545;14,687545;14,751742;0,064197;0,063828;-0,026403;-0,090231;;
268;14,751742;14,751742;14,752111;0,000369;-0,026403;0,026654;0,053057;;
269;14,752111;14,752111;14,778883;0,026772;0,026654;9,1E-05;-0,026563;;
270;14,778883;14,778883;14,779001;0,000118;9,1E-05;-0,015459;-0,01555;;
271;14,779001;14,779001;14,779028;2,7E-05;-0,015459;0,001447;0,016906;;
272;14,779028;14,779028;14,794514;0,015486;0,001447;0,0138;0,012353;;
273;14,794514;14,794514;14,808553;0,014039;0,0138;-0,004081;-0,017881;;
274;14,808553;14,808553;14,808792;0,000239;-0,004081;-0,002364;0,001717;;
275;14,808792;14,808792;14,813112;0,00432;-0,002364;0,006617;0,008981;;
276;14,813112;14,813112;14,819796;0,006684;0,006617;-5,7E-05;-0,006674;;
277;14,819796;14,819796;14,819863;6,7E-05;-5,7E-05;-0,02268;-0,022623;;
278;14,819863;14,819863;14,819987;0,000124;-0,02268;-0,437788;-0,415108;;
279;14,819987;14,819987;14,842791;0,022804;-0,437788;0,460592;0,89838;;
280;14,842791;14,842791;15,303383;0,460592;0,460592;-0,000105;-0,460697;;
281;15,303383;15,303383;15,303383;0;-0,000105;-0,000756;-0,000651;;
282;15,303383;15,303383;15,303488;0,000105;-0,000756;0,000861;0,001617;;
283;15,303488;15,303488;15,304349;0,000861;0,000861;0;-0,000861;;
284;15,304349;15,304349;15,304349;0;0;0;0;;
285;15,304349;15,304349;15,304349;0;0;0;0;;
286;15,304349;15,304349;15,304349;0;0;-0,000136;-0,000136;;
287;15,304349;15,304349;15,304349;0;-0,000136;-0,000623;-0,000487;;
288;15,304349;15,304349;15,304485;0,000136;-0,000623;0,000759;0,001382;;
289;15,304485;15,304485;15,305244;0,000759;0,000759;0;-0,000759;;
290;15,305244;15,305244;15,305244;0;0;0;0;;
291;15,305244;15,305244;15,305244;0;0;0;0;;
292;15,305244;15,305244;15,305244;0;0;0;0;;
293;15,305244;15,305244;15,305244;0;0;-0,00011;-0,00011;;
294;15,305244;15,305244;15,305244;0;-0,00011;-0,000296;-0,000186;;
295;15,305244;15,305244;15,305354;0,00011;-0,000296;0,000406;0,000702;;
296;15,305354;15,305354;15,30576;0,000406;0,000406;0;-0,000406;;
297;15,30576;15,30576;15,30576;0;0;-9,1E-05;-9,1E-05;;
298;15,30576;15,30576;15,30576;0;-9,1E-05;-0,000128;-3,7E-05;;
299;15,30576;15,30576;15,305851;9,1E-05;-0,000128;-0,000493;-0,000365;;
300;15,305851;15,305851;15,30607;0,000219;-0,000493;0,000643;0,001136;;
301;15,30607;15,30607;15,306782;0,000712;0,000643;-0,000153;-0,000796;;
302;15,306782;15,306782;15,306851;6,9E-05;-0,000153;-0,043135;-0,042982;;
303;15,306851;15,306851;15,307073;0,000222;-0,043135;-0,419056;-0,375921;;
304;15,307073;15,307073;15,35043;0,043357;-0,419056;0,355507;0,774563;;
305;15,35043;15,35043;15,812843;0,462413;0,355507;0,106591;-0,248916;;
306;15,812843;15,812843;15,919749;0,106906;0,106591;0,000192;-0,106399;;
307;15,919749;15,919749;15,920064;0,000315;0,000192;-0,000768;-0,00096;;
308;15,920064;15,920064;15,920187;0,000123;-0,000768;-0,008289;-0,007521;;
309;15,920187;15,920187;15,921078;0,000891;-0,008289;0,004764;0,013053;;
310;15,921078;15,921078;15,930258;0,00918;0,004764;0,002321;-0,002443;;
311;15,930258;15,930258;15,934674;0,004416;0,002321;0,002005;-0,000316;;
312;15,934674;15,934674;15,936769;0,002095;0,002005;-0,00555;-0,007555;;
313;15,936769;15,936769;15,936859;9E-05;-0,00555;-0,000114;0,005436;;
314;15,936859;15,936859;15,942499;0,00564;-0,000114;-0,000893;-0,000779;;
315;15,942499;15,942499;15,948253;0,005754;-0,000893;0,001112;0,002005;;
316;15,948253;15,948253;15,9549;0,006647;0,001112;-0,000501;-0,001613;;
317;15,9549;15,9549;15,960435;0,005535;-0,000501;0,005887;0,006388;;
318;15,960435;15,960435;15,966471;0,006036;0,005887;9,1E-05;-0,005796;;
319;15,966471;15,966471;15,96662;0,000149;9,1E-05;-0,0062;-0,006291;;
320;15,96662;15,96662;15,966678;5,8E-05;-0,0062;-0,00782;-0,00162;;
321;15,966678;15,966678;15,972936;0,006258;-0,00782;0,014078;0,021898;;
322;15,972936;15,972936;15,987014;0,014078;0,014078;0;-0,014078;;
323;15,987014;15,987014;15,987014;0;0;-8,3E-05;-8,3E-05;;
324;15,987014;15,987014;15,987014;0;-8,3E-05;-0,00024;-0,000157;;
325;15,987014;15,987014;15,987097;8,3E-05;-0,00024;0,000323;0,000563;;
326;15,987097;15,987097;15,98742;0,000323;0,000323;-6,1E-05;-0,000384;;
327;15,98742;15,98742;15,98742;0;-6,1E-05;-5,6E-05;5E-06;;
328;15,98742;15,98742;15,987481;6,1E-05;-5,6E-05;-0,000144;-8,8E-05;;
329;15,987481;15,987481;15,987598;0,000117;-0,000144;0,000235;0,000379;;
330;15,987598;15,987598;15,987859;0,000261;0,000235;-0,005116;-0,005351;;
331;15,987859;15,987859;15,987885;2,6E-05;-0,005116;-0,012615;-0,007499;;
332;15,987885;15,987885;15,993027;0,005142;-0,012615;0,017648;0,030263;;
333;15,993027;15,993027;16,010784;0,017757;0,017648;-0,004966;-0,022614;;
334;16,010784;16,010784;16,010893;0,000109;-0,004966;0,005075;0,010041;;
335;16,010893;16,010893;16,015968;0,005075;0,005075;-4,5E-05;-0,00512;;
336;16,015968;16,015968;16,015968;0;-4,5E-05;-0,000704;-0,000659;;
337;16,015968;16,015968;16,016013;4,5E-05;-0,000704;0,000749;0,001453;;
